2025-03-22 18:22:54,966 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [22, 9], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 18:22:54,975 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [0, 18], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 70, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 30, 'max_raise': 30, 'valid_actions': [1, 1, 1, 1, 0]}
2025-03-22 18:22:54,978 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [0, 18], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 18:22:54,981 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [0, 18], 'community_cards': [19, 1, 15, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 18:22:54,984 - PlayerAgent - INFO - Observation keys: {'street': 2, 'acting_agent': 0, 'my_cards': [0, 18], 'community_cards': [19, 1, 15, 17, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 18:22:54,987 - PlayerAgent - INFO - Observation keys: {'street': 3, 'acting_agent': 0, 'my_cards': [0, 18], 'community_cards': [19, 1, 15, 17, 7], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 18:22:54,991 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [0, 25], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 18:22:55,000 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [14, 10], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 18:22:55,006 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [3, 22], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 18:22:55,009 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [3, 22], 'community_cards': [13, 7, 18, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
