# Team 0: Quantum Bluff, Team 1: LeTeam
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
58,Pre-Flop,1,71,-71,FOLD,0,"['2d', '8s']","['2s', 'Ah']","['Ad', '4s']",,,2,2
59,Pre-Flop,1,73,-73,FOLD,0,"['5d', '4h']","['5h', '9d']","['Ah', '9h']",,,1,1
60,Pre-Flop,0,74,-74,RAISE,2,"['Ah', '7d']","['5s', '5h']","['3d', 'As']",,,1,1
60,Pre-Flop,1,74,-74,FOLD,0,"['Ah', '7d']","['5s', '5h']","['3d', 'As']",,,2,2
61,Pre-Flop,1,76,-76,FOLD,0,"['7h', '2s']","['5s', '9d']","['9s', '5h']",,,1,1
62,Pre-Flop,0,77,-77,FOLD,0,"['3h', '2s']","['4h', '7s']","['Ah', '2h']",,,1,1
63,Pre-Flop,1,76,-76,FOLD,0,"['7h', '9s']","['6h', '7d']","['6d', '4d']",,,1,1
64,Pre-Flop,0,77,-77,RAISE,2,"['6d', '8d']","['2s', '9h']","['9d', '8h']",,,1,1
64,Pre-Flop,1,77,-77,FOLD,0,"['6d', '8d']","['2s', '9h']","['9d', '8h']",,,2,2
65,Pre-Flop,1,79,-79,FOLD,0,"['7d', '9d']","['4d', '5h']","['8s', '5s']",,,1,1
66,Pre-Flop,0,80,-80,RAISE,2,"['7h', '5s']","['2s', '4s']","['6s', '9d']",,,1,1
66,Pre-Flop,1,80,-80,FOLD,0,"['7h', '5s']","['2s', '4s']","['6s', '9d']",,,2,2
67,Pre-Flop,1,82,-82,FOLD,0,"['8h', '5d']","['Ah', '6h']","['3s', '7d']",,,1,1
68,Pre-Flop,0,83,-83,FOLD,0,"['3h', '2h']","['9h', '4s']","['5h', '6d']",,,1,1
69,Pre-Flop,1,82,-82,FOLD,0,"['As', '2s']","['9s', '7s']","['6h', '7h']",,,1,1
70,Pre-Flop,0,83,-83,RAISE,2,"['4d', '3d']","['5d', '6h']","['5s', 'Ah']",,,1,1
70,Pre-Flop,1,83,-83,FOLD,0,"['4d', '3d']","['5d', '6h']","['5s', 'Ah']",,,2,2
