# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
16,Pre-Flop,1,903,-903,CALL,0,"['7d', '7s']","['8h', '9d']","['6d', '3h']",,,2,2
16,Flop,0,903,-903,CHECK,0,"['7d', '7s']","['8h', '9d']","['6d', '3h', '4h']",,,100,100
16,Flop,1,903,-903,DISCARD,0,"['7d', '7s']","['8h', '9d']","['6d', '3h', '4h']",,,100,100
16,Flop,1,903,-903,CHECK,0,"['7d', '7s']","['9s', '9d']","['6d', '3h', '4h']",,8h,100,100
16,Turn,0,903,-903,CHECK,0,"['7d', '7s']","['9s', '9d']","['6d', '3h', '4h', '5s']",,8h,100,100
16,Turn,1,903,-903,FOLD,0,"['7d', '7s']","['9s', '9d']","['6d', '3h', '4h', '5s']",,8h,100,100
17,Pre-Flop,1,1003,-1003,RAISE,53,"['6h', 'Ah']","['8d', '2d']","['5h', '9s']",,,1,1
17,Pre-Flop,0,1003,-1003,RAISE,45,"['6h', 'Ah']","['8d', '2d']","['5h', '9s']",,,2,2
17,Pre-Flop,1,1003,-1003,DISCARD,0,"['6h', 'Ah']","['8d', '2d']","['5h', '9s']",,,55,55
17,Pre-Flop,1,1003,-1003,CALL,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s']",,8d,55,55
17,Pre-Flop,0,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s']",,8d,100,100
17,Flop,1,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s']",,8d,100,100
17,Flop,0,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s']",,8d,100,100
17,Turn,1,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s', '6s']",,8d,100,100
